Job Title,Role,Qualification,Work Type,Experience,Salary,Portal,Company Name,Location,Country,Company Size,Preference,Posting Date,Latitude,Longitude,Contact Person
Data Scientist,Data Engineer,B.Tech,Full-Time,3,15000,Indeed,Tech Solutions Global,Mumbai,India,12000,Female,2023-03-15,19.0760,72.8777,Aneesh
Data Scientist,Data Engineer,B.Tech,Full-Time,4,18000,Indeed,Quantum Systems Inc,Berlin,Germany,15000,Female,2023-04-10,52.5200,13.4050,Marie
Art Teacher,Teacher,B.Tech,Full-Time,3,12000,Indeed,Creative Arts Academy,Delhi,India,2500,Female,2023-05-20,28.6139,77.2090,Rahul
Aerospace Engineer,Engineer,B.Tech,Full-Time,5,22000,Indeed,AeroSpace Dynamics,Munich,Germany,8000,Male,2023-02-18,48.1351,11.5820,Hans
Mechanical Engineer,Production,B.Tech,Full-Time,6,55000,Idealist,Alpha Engineering Corp,Tokyo,Japan,45000,Male,2024-01-12,35.6762,139.6503,Kenji
Data Scientist,Data Engineer,B.Tech,Full-Time,4,25000,LinkedIn,Global Tech Giants,New York,USA,55000,Female,2023-02-14,40.7128,-74.0060,Jessica
Data Scientist,Data Engineer,B.Tech,Full-Time,3,16000,LinkedIn,Enterprise Solutions Inc,London,UK,20000,Female,2023-05-01,51.5074,-0.1278,Chloe
Software Engineer,Developer,B.Tech,Intern,1,9500,Indeed,Startup Hub,Bangalore,India,150,Male,2024-03-01,12.9716,77.5946,Amit
Data Engineer,Data Engineer,B.Tech,Intern,2,11000,Indeed,MidSize Analytics,Noida,India,25000,Female,2024-02-15,28.5355,77.3910,Pooja
Data Scientist,Data Engineer,B.Tech,Intern,0,8500,LinkedIn,Small Scale Firm,Pune,India,40000,Female,2022-11-10,18.5204,73.8567,Dave
Data Scientist,Data Engineer,B.Tech,Intern,2,10500,Indeed,Pixel Analytics,Austin,USA,35000,Female,2022-08-24,30.2672,-97.7431,Jane
Data Analytics,Analyst,B.Tech,Intern,2,12000,Indeed,DataCraft International,Cairo,Egypt,45000,Male,2022-06-18,5.0000,31.0000,Jesse
Data Scientist,Data Engineer,M.Tech,Full-Time,4,35000,Indeed,Delta Information Systems,Lagos,Nigeria,85000,Male,2024-05-14,6.5244,3.3792,Abidemi
Data Engineer,Data Engineer,PhD,Full-Time,5,42000,Indeed,Development Group Corp,Nairobi,Kenya,90000,Male,2024-06-01,-1.2921,36.8219,Amare